FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y55-64,55-64 anni,2015,25,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y55-64,55-64 anni,2016,33,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y55-64,55-64 anni,2017,24,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y55-64,55-64 anni,2018,30,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y55-64,55-64 anni,2019,23,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y55-64,55-64 anni,2020,48,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y55-64,55-64 anni,2021,28,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y55-64,55-64 anni,2022,18,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y55-64,55-64 anni,2023,23,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y55-64,55-64 anni,2024,10,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_GE65,65 anni e più,2015,37,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_GE65,65 anni e più,2016,23,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_GE65,65 anni e più,2017,24,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_GE65,65 anni e più,2018,28,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_GE65,65 anni e più,2019,28,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_GE65,65 anni e più,2020,35,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_GE65,65 anni e più,2021,34,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_GE65,65 anni e più,2022,18,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_GE65,65 anni e più,2023,43,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_GE65,65 anni e più,2024,36,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,TOTAL,Totale,2015,311,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,TOTAL,Totale,2016,295,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,TOTAL,Totale,2017,286,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,TOTAL,Totale,2018,261,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,TOTAL,Totale,2019,218,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,TOTAL,Totale,2020,571,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,TOTAL,Totale,2021,540,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,TOTAL,Totale,2022,262,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,TOTAL,Totale,2023,425,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,TOTAL,Totale,2024,433,,
