FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,Y_PRESENCE_DISABILITY,Presenza di disabilità,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,0,No,2023,116,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,0,No,2024,158,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,1,Si,2015,18,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,1,Si,2016,20,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,1,Si,2017,24,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,1,Si,2018,23,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,1,Si,2019,7,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,1,Si,2020,33,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,1,Si,2021,43,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,1,Si,2022,27,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,1,Si,2023,71,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,1,Si,2024,34,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2015,67,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2016,50,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2017,48,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2018,20,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2019,14,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2020,84,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2021,183,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2022,304,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2023,744,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2024,949,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,9,Totale,2015,433,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,9,Totale,2016,419,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,9,Totale,2017,468,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,9,Totale,2018,491,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,9,Totale,2019,498,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,9,Totale,2020,645,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,9,Totale,2021,578,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,9,Totale,2022,624,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,9,Totale,2023,931,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,9,Totale,2024,1141,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,0,No,2015,3725,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,0,No,2016,3736,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,0,No,2017,3422,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,0,No,2018,4637,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,0,No,2019,4372,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,0,No,2020,4807,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,0,No,2021,3500,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,0,No,2022,3241,,
