territorio,sesso,stato_denuncia,periodo,numero_vittime
lombardia,maschi,non disponibile,2018,5
lombardia,maschi,non disponibile,2019,5
lombardia,maschi,non disponibile,2020,13
lombardia,maschi,non disponibile,2021,13
lombardia,maschi,non disponibile,2022,6
lombardia,maschi,non disponibile,2024,3
lombardia,femmine,denuncia,2015,180
lombardia,femmine,denuncia,2016,211
lombardia,femmine,denuncia,2017,176
lombardia,femmine,denuncia,2018,188
lombardia,femmine,denuncia,2019,201
lombardia,femmine,denuncia,2020,267
lombardia,femmine,denuncia,2021,302
lombardia,femmine,denuncia,2022,226
lombardia,femmine,denuncia,2023,305
lombardia,femmine,denuncia,2024,348
lombardia,femmine,ritira la denuncia,2015,39
lombardia,femmine,ritira la denuncia,2016,49
lombardia,femmine,ritira la denuncia,2017,51
lombardia,femmine,ritira la denuncia,2018,34
lombardia,femmine,ritira la denuncia,2019,45
lombardia,femmine,ritira la denuncia,2020,52
lombardia,femmine,ritira la denuncia,2021,78
lombardia,femmine,ritira la denuncia,2022,56
lombardia,femmine,ritira la denuncia,2023,38
lombardia,femmine,ritira la denuncia,2024,78
lombardia,femmine,non denuncia,2015,907
lombardia,femmine,non denuncia,2016,988
lombardia,femmine,non denuncia,2017,924
lombardia,femmine,non denuncia,2018,1019
lombardia,femmine,non denuncia,2019,1011
lombardia,femmine,non denuncia,2020,1457
lombardia,femmine,non denuncia,2021,1557
lombardia,femmine,non denuncia,2022,1383
lombardia,femmine,non denuncia,2023,1650
lombardia,femmine,non denuncia,2024,2254
lombardia,femmine,non risponde,2015,5
lombardia,femmine,non risponde,2016,8
lombardia,femmine,non risponde,2017,9
lombardia,femmine,non risponde,2018,9
lombardia,femmine,non risponde,2019,2
lombardia,femmine,non risponde,2020,12
lombardia,femmine,non risponde,2021,28
lombardia,femmine,non risponde,2022,29
lombardia,femmine,non risponde,2023,188
lombardia,femmine,non risponde,2024,147
lombardia,femmine,non disponibile,2015,84
lombardia,femmine,non disponibile,2016,53
lombardia,femmine,non disponibile,2017,100
lombardia,femmine,non disponibile,2018,124
lombardia,femmine,non disponibile,2019,75
lombardia,femmine,non disponibile,2020,475
lombardia,femmine,non disponibile,2021,299
lombardia,femmine,non disponibile,2022,108
lombardia,femmine,non disponibile,2023,23
lombardia,femmine,non disponibile,2024,50
lombardia,non indicato,denuncia,2023,2
lombardia,non indicato,denuncia,2024,1
lombardia,non indicato,non denuncia,2023,5
lombardia,non indicato,non denuncia,2024,4
lombardia,non indicato,non risponde,2023,5
lombardia,non indicato,non risponde,2024,5
lombardia,non indicato,non disponibile,2023,33
lombardia,non indicato,non disponibile,2024,27
nord est,maschi,denuncia,2015,7
nord est,maschi,denuncia,2016,5
nord est,maschi,denuncia,2017,5
nord est,maschi,denuncia,2018,4
nord est,maschi,denuncia,2019,3
nord est,maschi,denuncia,2020,5
nord est,maschi,denuncia,2021,11
nord est,maschi,denuncia,2022,1
nord est,maschi,denuncia,2023,8
nord est,maschi,denuncia,2024,6
nord est,maschi,ritira la denuncia,2016,2
nord est,maschi,ritira la denuncia,2017,1
nord est,maschi,ritira la denuncia,2019,1
nord est,maschi,ritira la denuncia,2020,1
nord est,maschi,ritira la denuncia,2023,1
nord est,maschi,ritira la denuncia,2024,1
nord est,maschi,non denuncia,2015,36
nord est,maschi,non denuncia,2016,28
nord est,maschi,non denuncia,2017,24
nord est,maschi,non denuncia,2018,21
nord est,maschi,non denuncia,2019,25
nord est,maschi,non denuncia,2020,49
