territorio,sesso,nazionalità_utente,modalità_intervento,periodo,numero_vittime
nord ovest,maschi,estero,richiesto intervento del 113,2023,86
nord ovest,maschi,estero,richiesto intervento del 113,2024,169
nord ovest,maschi,estero,trasferito servizio,2015,13
nord ovest,maschi,estero,trasferito servizio,2016,18
nord ovest,maschi,estero,trasferito servizio,2017,22
nord ovest,maschi,estero,trasferito servizio,2018,11
nord ovest,maschi,estero,trasferito servizio,2019,8
nord ovest,maschi,estero,trasferito servizio,2020,20
nord ovest,maschi,estero,trasferito servizio,2021,16
nord ovest,maschi,estero,trasferito servizio,2022,8
nord ovest,maschi,estero,trasferito servizio,2023,25
nord ovest,maschi,estero,trasferito servizio,2024,30
nord ovest,maschi,estero,non trasferito servizio,2015,4
nord ovest,maschi,estero,non trasferito servizio,2016,8
nord ovest,maschi,estero,non trasferito servizio,2017,4
nord ovest,maschi,estero,non trasferito servizio,2018,12
nord ovest,maschi,estero,non trasferito servizio,2019,13
nord ovest,maschi,estero,non trasferito servizio,2020,6
nord ovest,maschi,estero,non trasferito servizio,2021,20
nord ovest,maschi,estero,non trasferito servizio,2022,16
nord ovest,maschi,estero,non trasferito servizio,2023,20
nord ovest,maschi,estero,non trasferito servizio,2024,18
nord ovest,maschi,estero,chiamate valide,2015,17
nord ovest,maschi,estero,chiamate valide,2016,26
nord ovest,maschi,estero,chiamate valide,2017,26
nord ovest,maschi,estero,chiamate valide,2018,23
nord ovest,maschi,estero,chiamate valide,2019,21
nord ovest,maschi,estero,chiamate valide,2020,26
nord ovest,maschi,estero,chiamate valide,2021,36
nord ovest,maschi,estero,chiamate valide,2022,24
nord ovest,maschi,estero,chiamate valide,2023,45
nord ovest,maschi,estero,chiamate valide,2024,48
nord ovest,maschi,estero,richiesto intervento del 112,2023,5
nord ovest,maschi,estero,richiesto intervento del 112,2024,15
nord ovest,maschi,estero,richiesto intervento del 113,2023,6
nord ovest,maschi,estero,richiesto intervento del 113,2024,16
nord ovest,maschi,italia,trasferito servizio,2015,285
nord ovest,maschi,italia,trasferito servizio,2016,283
nord ovest,maschi,italia,trasferito servizio,2017,257
nord ovest,maschi,italia,trasferito servizio,2018,168
nord ovest,maschi,italia,trasferito servizio,2019,190
nord ovest,maschi,italia,trasferito servizio,2020,220
nord ovest,maschi,italia,trasferito servizio,2021,177
nord ovest,maschi,italia,trasferito servizio,2022,153
nord ovest,maschi,italia,trasferito servizio,2023,349
nord ovest,maschi,italia,trasferito servizio,2024,437
nord ovest,maschi,italia,non trasferito servizio,2015,131
nord ovest,maschi,italia,non trasferito servizio,2016,110
nord ovest,maschi,italia,non trasferito servizio,2017,185
nord ovest,maschi,italia,non trasferito servizio,2018,300
nord ovest,maschi,italia,non trasferito servizio,2019,287
nord ovest,maschi,italia,non trasferito servizio,2020,399
nord ovest,maschi,italia,non trasferito servizio,2021,365
nord ovest,maschi,italia,non trasferito servizio,2022,447
nord ovest,maschi,italia,non trasferito servizio,2023,537
nord ovest,maschi,italia,non trasferito servizio,2024,656
nord ovest,maschi,italia,chiamate valide,2015,416
nord ovest,maschi,italia,chiamate valide,2016,393
nord ovest,maschi,italia,chiamate valide,2017,442
nord ovest,maschi,italia,chiamate valide,2018,468
nord ovest,maschi,italia,chiamate valide,2019,477
nord ovest,maschi,italia,chiamate valide,2020,619
nord ovest,maschi,italia,chiamate valide,2021,542
nord ovest,maschi,italia,chiamate valide,2022,600
nord ovest,maschi,italia,chiamate valide,2023,886
nord ovest,maschi,italia,chiamate valide,2024,1093
nord ovest,maschi,italia,richiesto intervento del 118,2024,2
nord ovest,maschi,italia,richiesto intervento del 112,2015,1
nord ovest,maschi,italia,richiesto intervento del 112,2017,4
nord ovest,maschi,italia,richiesto intervento del 112,2019,2
nord ovest,maschi,italia,richiesto intervento del 112,2022,1
nord ovest,maschi,italia,richiesto intervento del 112,2023,72
